id,ON STREET NAME,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 3,NUMBER OF CYCLIST INJURED,LONGITUDE,OFF STREET NAME,VEHICLE TYPE CODE 4,LATITUDE,LOCATION,VEHICLE TYPE CODE 1,NUMBER OF MOTORIST INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 2,NUMBER OF PEDESTRIANS KILLED,CROSS STREET NAME,NUMBER OF PERSONS INJURED,VEHICLE TYPE CODE 2,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,ZIP CODE,VEHICLE TYPE CODE 3,NUMBER OF CYCLIST KILLED,DATE,UNIQUE KEY,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 5,TIME,NUMBER OF PEDESTRIANS INJURED
18,WORTMAN AVENUE,0,,0,-73.8720068,,,40.66251389999999,"(40.6625139, -73.8720068)",TAXI,0,0,,Unspecified,0,MONTAUK AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11208.0,,0,11/10/2016,3559576,,,16:11:00,0
21,HUBERT STREET,0,,0,-74.0083444,,,40.721322799999996,"(40.7213228, -74.0083444)",PASSENGER VEHICLE,0,0,,,0,HUDSON STREET,1,,MANHATTAN,Failure to Yield Right-of-Way,10013.0,,0,11/10/2016,3557391,,,05:11:00,1
69,HENRY STREET,0,,0,-73.9975625,,,40.6879989,"(40.6879989, -73.9975625)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,WARREN STREET,0,VAN,BROOKLYN,Lost Consciousness,11201.0,,0,04/16/2016,3419378,,,09:15:00,0
80,,0,Failure to Yield Right-of-Way,0,-73.8545422,67-64 FLEET STREET,,40.7192276,"(40.7192276, -73.8545422)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11375.0,PASSENGER VEHICLE,0,04/15/2016,3428072,,,10:20:00,0
85,BEDFORD AVENUE,0,,0,-73.9527315,,,40.6321467,"(40.6321467, -73.9527315)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,CAMPUS ROAD,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11210.0,,0,04/15/2016,3417537,,,10:35:00,0
89,COLUMBUS AVENUE,0,,0,-73.9773678,,,40.7793641,"(40.7793641, -73.9773678)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,WEST 75 STREET,0,PASSENGER VEHICLE,MANHATTAN,Failure to Yield Right-of-Way,10023.0,,0,04/15/2016,3409274,,,10:50:00,0
119,,0,,0,-73.8969612,6253      BROADWAY,,40.8975679,"(40.8975679, -73.8969612)",PASSENGER VEHICLE,0,0,,Unsafe Speed,0,,0,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10471.0,,0,11/10/2016,3557801,,,20:11:00,0
127,ROCKAWAY BOULEVARD,0,,0,-73.7738282,,,40.659650899999995,"(40.6596509, -73.7738282)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,FARMERS BOULEVARD,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11434.0,,0,04/15/2016,3424164,,,11:30:00,0
147,GRAND AVENUE,0,,0,-73.9625453,,,40.677285499999996,"(40.6772855, -73.9625453)",MOTORCYCLE,1,0,,Lost Consciousness,0,SAINT MARKS AVENUE,1,,BROOKLYN,Lost Consciousness,11238.0,,0,04/15/2016,3419618,,,12:00:00,0
173,114 ROAD,0,,0,-73.732433,,,40.7009644,"(40.7009644, -73.732433)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,225 STREET,1,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11411.0,,0,04/15/2016,3424166,,,12:50:00,0
180,RICHMOND AVENUE,0,,0,-74.15397349999998,,,40.5342669,"(40.5342669, -74.1539735)",PASSENGER VEHICLE,1,0,,Unspecified,0,HYLAN BOULEVARD,1,PASSENGER VEHICLE,STATEN ISLAND,Failure to Yield Right-of-Way,10312.0,,0,11/10/2016,3559009,,,20:11:00,0
188,CALYER STREET,0,,0,-73.9558065,,,40.727295500000004,"(40.7272955, -73.9558065)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,CLIFFORD PLACE,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11222.0,,0,04/15/2016,3421848,,,13:15:00,0
205,130 STREET,0,,0,-73.83886109999997,,,40.7786169,"(40.7786169, -73.8388611)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,23 AVENUE,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11356.0,,0,04/15/2016,3426617,,,13:50:00,0
221,WALLABOUT STREET,0,,0,-73.9571664,,,40.6997084,"(40.6997084, -73.9571664)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,BEDFORD AVENUE,0,,BROOKLYN,Lost Consciousness,11206.0,,0,04/15/2016,3421539,,,14:55:00,0
238,,0,,0,-73.9088261,50-06 31 AVENUE,,40.7574437,"(40.7574437, -73.9088261)",PASSENGER VEHICLE,0,0,,,0,,1,,QUEENS,Failure to Yield Right-of-Way,11377.0,,0,04/15/2016,3429070,,,15:00:00,1
255,JEROME AVENUE,0,,0,-73.8780005,,,40.88744620000001,"(40.8874462, -73.8780005)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,BAINBRIDGE AVENUE,0,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10467.0,,0,04/15/2016,3414390,,,15:40:00,0
266,WESTCHESTER AVENUE,0,,0,-73.8860957,,,40.82765560000001,"(40.8276556, -73.8860957)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,WHITLOCK AVENUE,0,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10472.0,,0,04/15/2016,3411451,,,16:00:00,0
274,111 STREET,0,,0,-73.82897109999998,,,40.6803265,"(40.6803265, -73.8289711)",PICK-UP TRUCK,0,0,,,0,109 AVENUE,1,,QUEENS,Failure to Yield Right-of-Way,11420.0,,0,11/10/2016,3557557,,,06:11:00,1
290,CANAL STREET,0,,0,-74.006299,,,40.722549900000004,"(40.7225499, -74.006299)",PASSENGER VEHICLE,3,0,,Failure to Yield Right-of-Way,0,VARICK STREET,3,,MANHATTAN,Failure to Yield Right-of-Way,10013.0,,0,04/15/2016,3405498,,,16:03:00,0
314,EAST FORDHAM ROAD,0,,0,-73.88079259999998,,,40.857128499999995,"(40.8571285, -73.8807926)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,SOUTHERN BOULEVARD,0,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10458.0,,0,04/15/2016,3413760,,,17:00:00,0
316,86 STREET,0,,0,-74.0026435,,,40.6072584,"(40.6072584, -74.0026435)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,18 AVENUE,0,SMALL COM VEH(4 TIRES),BROOKLYN,Failure to Yield Right-of-Way,11214.0,,0,04/15/2016,3415384,,,17:00:00,0
319,GRAND AVENUE,0,,0,-73.8953397,,,40.72591970000001,"(40.7259197, -73.8953397)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,69 STREET,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11378.0,,0,04/15/2016,3423465,,,17:00:00,0
349,METCALF AVENUE,0,,0,-73.8720302,,,40.82691629999999,"(40.8269163, -73.8720302)",,0,0,,,0,WATSON AVENUE,1,,BRONX,Failure to Yield Right-of-Way,10472.0,,0,11/10/2016,3560252,,,09:11:00,1
350,18 AVENUE,0,,0,-74.0026435,,,40.6072584,"(40.6072584, -74.0026435)",SPORT UTILITY / STATION WAGON,0,0,,,0,86 STREET,1,,BROOKLYN,Failure to Yield Right-of-Way,11214.0,,0,11/10/2016,3557449,,,09:11:00,1
351,AVENUE W,0,,0,-73.95270040000003,,,40.5946391,"(40.5946391, -73.9527004)",PASSENGER VEHICLE,1,0,,Unspecified,0,EAST 18 STREET,1,SPORT UTILITY / STATION WAGON,BROOKLYN,Failure to Yield Right-of-Way,11229.0,,0,11/10/2016,3560525,,,09:11:00,0
372,5 AVENUE,0,,0,-73.976743,,,40.7591654,"(40.7591654, -73.976743)",OTHER,0,0,,Failure to Yield Right-of-Way,0,WEST 51 STREET,0,PASSENGER VEHICLE,MANHATTAN,Failure to Yield Right-of-Way,10022.0,,0,04/15/2016,3408389,,,18:10:00,0
376,72 STREET,0,,0,-73.99422259999999,,,40.6151303,"(40.6151303, -73.9942226)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,18 AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11204.0,,0,04/15/2016,3415397,,,18:25:00,0
392,,0,,0,-73.8858308,961 EAST 174 STREET,,40.836734899999996,"(40.8367349, -73.8858308)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,,0,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10460.0,,0,04/07/2016,3411692,,,15:27:00,0
407,EMPIRE BOULEVARD,0,,0,-73.96244870000002,,,40.6631828,"(40.6631828, -73.9624487)",PASSENGER VEHICLE,0,0,,,0,FLATBUSH AVENUE,1,,BROOKLYN,Failure to Yield Right-of-Way,11225.0,,0,04/15/2016,3417834,,,20:15:00,1
410,130 AVENUE,0,Failure to Yield Right-of-Way,0,-73.7399958,,,40.682506599999996,"(40.6825066, -73.7399958)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,227 STREET,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11413.0,,0,03/13/2016,3423593,,,19:24:00,0
411,149 STREET,0,,0,-73.8163873,,,40.7631605,"(40.7631605, -73.8163873)",SPORT UTILITY / STATION WAGON,0,0,,,0,ROOSEVELT AVENUE,1,,QUEENS,Failure to Yield Right-of-Way,11354.0,,0,03/13/2016,3404912,,,19:35:00,1
419,UTOPIA PARKWAY,0,,0,-73.7924146,,,40.7467748,"(40.7467748, -73.7924146)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,UNDERHILL AVENUE,1,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11365.0,,0,04/15/2016,3427624,,,21:00:00,0
420,48 AVENUE,0,,0,-73.76716390000001,,,40.755658000000004,"(40.755658, -73.7671639)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,BELL BOULEVARD,1,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11364.0,,0,04/15/2016,3427623,,,21:07:00,0
424,FLATBUSH AVENUE,0,,0,-73.9780417,,,40.6848568,"(40.6848568, -73.9780417)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,4 AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11217.0,,0,04/15/2016,3420927,,,21:47:00,0
432,65 PLACE,0,,0,-73.9000093,,,40.7348498,"(40.7348498, -73.9000093)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,MAURICE AVENUE,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11377.0,,0,04/15/2016,3423469,,,22:12:00,0
442,,0,,0,-74.00090379999997,8973      BAY PARKWAY,,40.5951044,"(40.5951044, -74.0009038)",PASSENGER VEHICLE,0,0,,Unspecified,0,,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11214.0,,0,11/09/2016,3557102,,,11:11:00,0
465,FLATBUSH AVENUE,0,,0,-73.96142950000002,,,40.6616893,"(40.6616893, -73.9614295)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,LEFFERTS AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11225.0,,0,04/15/2016,3417830,,,02:50:00,0
